,pred,gt
0,GERADE REGION TIEF REGION GEWITTER GEWITTER,GERADE RHEIN-PFALZ SAARLAND NORDRHEIN-WESTFALEN GEWITTER
1,WAHRSCHEINLICH SUED BESSER NORD,UNGEMUETLICH SUED BESSER ALS NORD
2,AB SUED WETTER WIND,AB MONTAG IN-KOMMEND WETTER WECHSELHAFT WIND
3,SONNE,REGION MEHR SONNE
4,TAG ZEHN GRAD BISSCHEN REGION ACHTZEHN GRAD,TAG ZEHN GRAD BISSCHEN BEWOELKT ACHTZEHN GRAD FLUSS IX
5,SONNTAG HAUPTSAECHLICH SONNE,SONNTAG UEBERWIEGEND SONNE
6,SONNTAG WEST NORDWEST WIEDER WOLKE BISSCHEN REGEN OST REGION FREUNDLICH,SONNTAG WEST NORDWEST WIEDER VIEL WOLKE BISSCHEN REGEN OST KOMMEN FREUNDLICH
7,WIND SCHWACH WEHEN,WIND SCHWACH WEHEN ZEIGEN-BILDSCHIRM
8,DIENSTAG WEST KOMMEN SCHAUER,DIENSTAG WEST MEHR WOLKE SCHAUER
9,NORD NACHT FUENF KUESTE GRAD GRAD,BAYERN WALD HEUTE ABEND MINUS FUENF FLUSS DREI GRAD
10,MITTWOCH SONNE NUR WEST SCHNEE DANN,MITTWOCH SONNE NICHT NUR WEST SCHNEE REGEN MISCHUNG DANN BEISEITE
11,WETTER MORGEN SEHEN ZEIGEN-BILDSCHIRM,JETZT WETTER MORGEN SAMSTAG ZEHNTE APRIL WIE-AUSSEHEN ZEIGEN-BILDSCHIRM
12,REGION KALT WIND STARK,IN-KOMMEND MEHR KUEHL WENIGER WIND STARK
13,DANN KOMMEN STARK GEWITTER GEWITTER,DANN KOMMEN SCHAUER STARK MIT GEWITTER
14,NACH MITTAG WEST WOLKE REGEN,NACH MITTAG NORDWEST WOLKE KOENNEN REGEN
15,SONNE TEMPERATUR,A HOCH KOMMEN SAMSTAG SONNTAG MEHR SONNE TEMPERATUR STEIGEN
16,SUED HOCH DRUCK RUHIG FREUNDLICH HERBST,SUED WAHRSCHEINLICH HOCH DRUCK RUHIG FREUNDLICH HERBST
17,SUED BISSCHEN REGEN SONST REGION FREUNDLICH,MITTWOCH SUED NORD BISSCHEN REGEN SONST REGION FREUNDLICH
18,VIERZEHN REGION WEST NUR GRAD,FUENFZEHN GRAD REGION SAUER LAND NUR SECHS GRAD
19,LUFT KUESTE HOCH MORGEN SONNE,LUFT DRUCK HOCH DESHALB MORGEN SONNE UEBERALL
20,HEUTE NACHT SECHS BIS DREIZEHN GRAD REGION ZEHN GRAD REGION BIS ZWANZIG GRAD,HEUTE NACHT SECHS BIS DREIZEHN GRAD TAG TEMPERATUR STEIGEN ZEHN GRAD ALPEN BIS FUENF ZWANZIG GRAD WEST
21,SUED NORD MAESSIG NORDOST STURM STURM,SUED SCHWACH NORD MAESSIG KUESTE STARK STURM
22,JETZT WETTER MORGEN FREITAG EINS ZWANZIG MAI,JETZT WETTER MORGEN FREITAG EINS ZWANZIG MAI
23,MORGEN NORD KUESTE,MORGEN NORD KAUM GEWITTER REGION SONNE
24,MORGEN ZWANZIG GRAD FLUSS FLUSS TROCKEN GRAD,MORGEN ZWEI GRAD REGION FLUSS NEUN GRAD
25,ZWANZIG SUEDWEST ZWANZIG GRAD,ZWANZIG BIS UEBER ZWANZIG GRAD
26,BLEIBEN STEIGEN,BLEIBEN HOCH TIEF HOCH TIEF
27,DANN SCHNEE TROCKEN DAZU STURM WEST KOMMEN,DANN REGEN VERSCHWINDEN WIND STURM WEST KOMMEN
28,MONTAG AEHNLICH WETTER HEISS,MONTAG AEHNLICH WETTER ABER BISSCHEN MEHR WARM
29,MORGEN TAG ACHTZEHN MAXIMAL DREI ZWANZIG GRAD,MORGEN TAG ACHTZEHN MAXIMAL DREI ZWANZIG GRAD
30,SKANDINAVIEN NORD WOLKE DEUTSCH KOMMEN,SKANDINAVIEN NORD WOLKE TIEF AUCH DEUTSCHLAND REGION KOMMEN
31,MITTWOCH WIND KOENNEN STURM REGEN,MITTWOCH WIND KOENNEN STURM REGEN
32,SUEDOST,SUEDOST MEISTENS TROCKEN
33,MORGEN HOCH LUFT VIEL SONNE,MORGEN AUCH HOCH LUFT VIEL SONNE
34,SAMSTAG DANN WECHSELHAFT IX REGEN BESONDERS NAH STURM,SAMSTAG SONNTAG DANN WECHSELHAFT IX REGEN BESONDERS SONNTAG KOENNEN STURM
35,NACHT NORD STURM AUCH WIND ORKAN,NACHT NORD MEHR STURM AUCH KUESTE ORKAN
36,SIEBEN ALLGAEU SECHSZEHN NORD,KUEHL SIEBEN GRAD ALLGAEU IX SECHSZEHN NORD
37,SCHOEN ABEND WEHEN,SCHOEN ABEND WUENSCHEN
